['abeam', 'ameba']
['abort', 'tabor']
['acerb', 'brace']
['acerb', 'caber']
['acorn', 'racon']
['acres', 'scare']
['actin', 'antic']
['adobe', 'abode']
['afire', 'feria']
['agism', 'sigma']
['agree', 'ragee']
['alert', 'alter']
['algin', 'align']
['aline', 'alien']
['allot', 'atoll']
['alloy', 'loyal']
['allyl', 'lally']
['alone', 'anole']
['aloof', 'loofa']
['amain', 'anima']
['amass', 'msasa']
['amber', 'bream']
['amend', 'named']
['amino', 'nomia']
['ample', 'maple']
['anger', 'range']
['angle', 'glean']
['angle', 'angel']
['anile', 'aline']
['anile', 'alien']
['anime', 'amine']
['arete', 'eater']
['arise', 'raise']
['armet', 'mater']
['arson', 'sonar']
['ascot', 'coast']
['asper', 'parse']
['asper', 'spear']
['asper', 'spare']
['asset', 'seats']
['asset', 'tasse']
['aster', 'stare']
['astir', 'stria']
['astir', 'stair']
['astir', 'sitar']
['atrip', 'tapir']
['auger', 'argue']
['bagel', 'gleba']
['bairn', 'brain']
['balas', 'balsa']
['balas', 'basal']
['baldy', 'badly']
['balsa', 'basal']
['bared', 'ardeb']
['baste', 'tabes']
['baste', 'beast']
['baste', 'beats']
['beads', 'based']
['beard', 'debar']
['beard', 'bread']
['beard', 'bared']
['beard', 'ardeb']
['beast', 'beats']
['being', 'binge']
['below', 'bowel']
['bidet', 'debit']
['biter', 'tribe']
['blame', 'amble']
['blase', 'sable']
['blate', 'bleat']
['blear', 'blare']
['boast', 'sabot']
['boney', 'ebony']
['bonus', 'bosun']
['booby', 'yobbo']
['brace', 'caber']
['brake', 'break']
['brake', 'baker']
['braky', 'barky']
['bread', 'bared']
['bread', 'ardeb']
['break', 'baker']
['brief', 'fibre']
['brief', 'fiber']
['broad', 'dobra']
['broad', 'board']
['broth', 'throb']
['bruin', 'burin']
['brute', 'rebut']
['brute', 'tuber']
['brute', 'buret']
['bulge', 'bugle']
['burnt', 'brunt']
['cadre', 'cedar']
['cadre', 'arced']
['canid', 'nicad']
['canoe', 'ocean']
['caret', 'react']
['caret', 'carte']
['carob', 'cobra']
['carol', 'claro']
['carol', 'coral']
['carom', 'macro']
['carve', 'crave']
['cater', 'caret']
['cater', 'react']
['cater', 'carte']
['cause', 'sauce']
['cedar', 'arced']
['ceras', 'acres']
['ceras', 'scare']
['chart', 'ratch']
['cheap', 'peach']
['chela', 'leach']
['chili', 'lichi']
['chime', 'hemic']
['chine', 'niche']
['choir', 'ichor']
['chore', 'ocher']
['churl', 'lurch']
['churn', 'runch']
['cider', 'dicer']
['clade', 'laced']
['clade', 'decal']
['claro', 'coral']
['clasp', 'scalp']
['close', 'socle']
['condo', 'codon']
['cooly', 'coyol']
['copse', 'scope']
['cords', 'scrod']
['corky', 'rocky']
['costa', 'ascot']
['costa', 'coast']
['cotan', 'canto']
['could', 'cloud']
['couth', 'touch']
['crake', 'creak']
['crape', 'caper']
['crate', 'trace']
['crate', 'cater']
['crate', 'caret']
['crate', 'react']
['crate', 'carte']
['credo', 'decor']
['credo', 'coder']
['crepe', 'creep']
['crisp', 'scrip']
['crony', 'corny']
['cruet', 'truce']
['cruet', 'curet']
['cruet', 'eruct']
['cruse', 'sucre']
['cruse', 'curse']
['crust', 'curst']
['cuffs', 'scuff']
['cumin', 'mucin']
['cured', 'crude']
['curet', 'eruct']
['damar', 'drama']
['dance', 'acned']
['daraf', 'farad']
['death', 'hated']
['debar', 'bread']
['debar', 'bared']
['debar', 'ardeb']
['debut', 'tubed']
['decaf', 'faced']
['decor', 'coder']
['decry', 'cyder']
['deify', 'edify']
['denim', 'mined']
['derma', 'dream']
['derma', 'armed']
['desex', 'sexed']
['deter', 'treed']
['diary', 'dairy']
['diazo', 'azido']
['dimer', 'mired']
['dimer', 'rimed']
['dinge', 'deign']
['dingy', 'dying']
['divan', 'viand']
['dobra', 'board']
['dolor', 'drool']
['dowry', 'rowdy']
['drain', 'dinar']
['dread', 'adder']
['dream', 'armed']
['drier', 'rider']
['drive', 'diver']
['drupe', 'prude']
['dusty', 'study']
['dweeb', 'bedew']
['eager', 'eagre']
['eager', 'agree']
['eager', 'ragee']
['eagre', 'agree']
['eagre', 'ragee']
['early', 'relay']
['early', 'layer']
['eaten', 'enate']
['eclat', 'cleat']
['edger', 'greed']
['educe', 'deuce']
['egret', 'greet']
['elbow', 'below']
['elbow', 'bowel']
['enrol', 'loner']
['enter', 'rente']
['erase', 'saree']
['ester', 'teres']
['ester', 'steer']
['ester', 'terse']
['evict', 'civet']
['facer', 'farce']
['fakir', 'kafir']
['felid', 'field']
['ferry', 'fryer']
['fetor', 'forte']
['fibre', 'fiber']
['filar', 'flair']
['filer', 'flier']
['fined', 'fiend']
['finer', 'infer']
['fired', 'fried']
['flare', 'feral']
['float', 'aloft']
['flour', 'fluor']
['fondu', 'found']
['forge', 'gofer']
['forth', 'froth']
['fount', 'futon']
['frail', 'filar']
['frail', 'flair']
['freak', 'faker']
['freed', 'defer']
['fries', 'serif']
['gable', 'bagel']
['gable', 'gleba']
['genip', 'ginep']
['genus', 'negus']
['ghoul', 'lough']
