Moldova,2022-01-25,6436
Eswatini,2022-01-17,3145
United States,2022-01-16,1081850
Indonesia,2022-01-07,1252137
Venezuela,2022-01-25,126261
Venezuela,2022-01-03,126261
Faeroe Islands,2022-01-05,197
Bermuda,2022-02-01,336
Aruba,2022-01-13,63
Antigua and Barbuda,2022-01-24,103
Romania,2022-01-20,16852
Albania,2022-01-28,5471
Senegal,2022-02-03,11939
Macao,2022-01-16,2630
Cameroon,2022-01-06,254
El Salvador,2022-01-17,15221
San Marino,2022-01-24,327
Cayman Islands,2022-01-01,226
British Virgin Islands,2022-02-08,3
Azerbaijan,2022-02-11,34401
Germany,2022-02-14,181675
Senegal,2022-01-22,4472
Bermuda,2022-01-20,125
Eswatini,2022-01-02,746
Lithuania,2022-01-10,15937
Tunisia,2022-01-10,24767
Chad,2022-02-02,1243
Guinea,2022-01-26,18767
Central African Republic,2022-01-31,4817
Tonga,2022-01-13,162
Nauru,2022-01-04,1
Azerbaijan,2022-01-25,20546
Guinea,2022-01-24,25922
Ukraine,2022-01-30,64070
Ghana,2022-02-02,84487
Cambodia,2022-01-18,131259
European Union,2022-01-07,2778839
Lower middle income,2022-02-13,9949730
Maldives,2022-01-02,438
Bolivia,2022-01-25,44508
Bahrain,2022-01-01,8063
Slovenia,2022-02-16,1938
Niger,2022-01-31,972
Paraguay,2022-01-04,28837
Malaysia,2022-01-10,204904
Bahamas,2022-02-07,316
Gibraltar,2022-01-23,119
China,2022-01-07,7491429
Rwanda,2022-01-20,127901
Curacao,2022-01-08,1741
Philippines,2022-02-12,355860
Sri Lanka,2022-02-09,107506
Afghanistan,2022-02-01,11228
Denmark,2022-01-18,35597
United Kingdom,2022-01-15,182280
Namibia,2022-01-13,908
Chad,2022-01-23,1229
Armenia,2022-01-09,4895
Denmark,2022-01-13,42859
Laos,2022-02-01,48048
Grenada,2022-01-02,175
Yemen,2022-02-11,1799
India,2022-01-12,8870535
Saudi Arabia,2022-02-03,225047
Zambia,2022-01-01,22047
Jamaica,2022-01-24,3525
Bosnia and Herzegovina,2022-01-11,4315
Lower middle income,2022-02-05,9782096
Timor,2022-01-05,1033
Netherlands,2022-02-01,37519
Macao,2022-01-07,1585
Venezuela,2022-01-23,126261
Rwanda,2022-01-16,127901
Jersey,2022-01-25,170
Zambia,2022-01-09,19201
Isle of Man,2022-01-07,523
Grenada,2022-01-25,121
India,2022-01-22,7349937
Malta,2022-01-16,5345
Jamaica,2022-02-02,2214
Kosovo,2022-01-20,4045
Spain,2022-01-20,241351
Iceland,2022-01-21,2520
Portugal,2022-01-25,84790
Africa,2022-02-11,1850689
Jordan,2022-01-01,28561
Serbia,2022-01-29,3928
Kazakhstan,2022-02-16,332923
Norway,2022-01-12,54097
Algeria,2022-01-13,18951
Cameroon,2022-01-14,254
Australia,2022-01-04,107501
Cambodia,2022-02-12,53567
Saudi Arabia,2022-01-24,224833
Nepal,2022-01-14,225014
Paraguay,2022-02-10,26607
Saint Lucia,2022-02-12,76
High income,2022-02-02,4001294
Oceania,2022-02-17,195715
Europe,2022-02-09,1737032
World,2022-02-02,21070281
Faeroe Islands,2022-01-09,402
Philippines,2022-01-28,452829
Bangladesh,2022-02-16,957674
Kazakhstan,2022-01-03,16873
Somalia,2022-01-03,5028
Iran,2022-01-11,537857
Hong Kong,2022-02-10,67295
High income,2022-01-22,5627623
Isle of Man,2022-01-24,136
Dominica,2022-01-31,90
Nepal,2022-02-06,372902
Bhutan,2022-01-21,24211
Cambodia,2022-02-16,77343
Peru,2022-01-05,177651
Barbados,2022-01-23,129
Ecuador,2022-01-20,90611
Asia,2022-02-01,13820978
Venezuela,2022-01-20,126261
Cambodia,2022-02-10,45859
Bulgaria,2022-01-23,12906
Armenia,2022-01-01,5739
Denmark,2022-01-17,36536
Panama,2022-01-15,25641
Sao Tome and Principe,2022-01-08,384
Turkey,2022-02-12,158220
Jordan,2022-02-08,15471
Wales,2022-02-04,4324
Barbados,2022-01-16,291
Japan,2022-02-11,659010
Benin,2022-02-01,14887
Bosnia and Herzegovina,2022-01-05,4315
Bolivia,2022-01-24,45186
Guernsey,2022-02-04,73
Philippines,2022-01-05,424239
Wallis and Futuna,2022-01-17,6
New Zealand,2022-01-28,61279
Kyrgyzstan,2022-01-08,4381
Albania,2022-01-03,5727
Mexico,2022-01-31,704797
Australia,2022-01-25,281357
Sri Lanka,2022-01-25,66585
Oman,2022-01-03,11708
Slovakia,2022-02-04,5215
Oceania,2022-01-28,316951
Tonga,2022-01-06,367
